Organization Name,Organization Name URL,Growth Category,Number of Employees,Last Funding Type,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Full Description,Headquarters Location,Description,CB Rank (Company),Acquired by,Acquired by URL,Acquisition Type,Acquisition Terms,Estimated Revenue Range,Founded Date,Founded Date Precision,Operating Status,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,LinkedIn,Founders,Number of Founders,Number of Funding Rounds,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Industries
JetBov,https://www.crunchbase.com/organization/jetbov,,11-50,Seed,1720000,BRL,353982,"JetBov develops livestock and farm management software for the agriculture industry. It began operation in September 2015, with its headquarters in Joinville in Brazil.","Santa Catarina, Sao Paulo, Brazil",JetBov develops livestock and farm management software for the agriculture industry.,"58,254",,,,,Less than $1M,2015-09-01,month,Active,,,,,For Profit,http://www.jetbov.com/,https://www.linkedin.com/company/jetbov/,"Alexandre Krammel, Paulo Marchetti, Xisto Alves de Souza Junior",3,5,1976282,USD,1976282,"Bossanova Investimentos, Google for Startups, EqSeed, ACE Ventures, SP Ventures",2,5,"Agriculture, AgTech, Livestock, SaaS, Software"
Fuselage Innovations,https://www.crunchbase.com/organization/fuselage-innovations,Growing,11-50,Seed,3000000,INR,36075,Fuselage Innovations is an Ag-tech startup that provides advanced solutions for mapping & diagnostics solutions of farmland through dedicated UAVs/drones.,"Kochi, Kerala, India",Fuselage Innovations is an agritech startup that provides advanced solutions for mapping & diagnostics solutions of farmland.,"58,262",,,,,$1M to $10M,2020-01-01,year,Active,,,,,For Profit,https://fuselage.co.in/,https://www.linkedin.com/company/fuselageinnovations/,,,1,3000000,INR,36075,"Cochin Shipyard, IIMK Live, Ushus Scheme",1,3,"Agriculture, AgTech, Farming"
Urban Crop Solutions,https://www.crunchbase.com/organization/urban-crop-solutions,Growing,11-50,Series A,4380000,EUR,4826632,"Urban Crop Solutions, turnkey solution provider in the indoor vertical farming industry, develops since 2014 tailored plant growth installations. These systems are turnkey, robotized and able to be integrated in existing production facilities or food processing units. Urban Crop Solutions also has its own range of standard growth container products. Being a total solution provider, Urban Crop Solutions can also supply seeds, substrates and nutrients to guarantee the best yields for their clients. Growing crops in a climate controlled multi-layer environment with own in-house developed LED lights, achieves shorter growth cycles, higher water efficiency, flexible but guaranteed harvests and safe and healthy crops (no pesticides or herbicides are needed). The grow infrastructure can be installed in new buildings, as well as in existing (industrial) buildings or unused spaces. Above all, the growth infrastructures give Urban Crop Solutions' clients the ability to grow, harvest and consume locally, every day and in any chosen quantity.","Waregem, West-Vlaanderen, Belgium",Urban Crop Solutions is a total solutions provider for the indoor vertical farming industry.,"58,279",,,,,$1M to $10M,2014-11-28,day,Active,,,,,For Profit,http://www.urbancropsolutions.com,https://linkedin.com/company/urbancropsolutions,"Frederic Bulcaen, Maarten Vandecruys",2,1,4380000,EUR,4826632,,,,"Agriculture, AgTech, Manufacturing"
Soil Benchmark,https://www.crunchbase.com/organization/soil-benchmark,,1-10,Pre-Seed,537000,GBP,704625,Soil Benchmark develops and creates data-based solutions to manage and improve the health of soils. It assists farming professionals with organizing existing soil information to strengthen the agriculture system. Soil Benchmark was founded in 2022.,"Northallerton, North Yorkshire, United Kingdom",Soil Benchmark develops and creates data-based solutions to manage and improve the health of soils.,"58,427",,,,,,2022-01-01,year,Active,,,,,For Profit,https://www.soilbenchmark.com/,https://www.linkedin.com/company/soil-benchmark,,,2,787000,GBP,1008399,SFC Capital,,1,"Agriculture, AgTech, Farming, Horticulture, Information Technology"
Dexer,https://www.crunchbase.com/organization/agvoice,,11-50,Convertible Note,1000000,USD,1000000,"Dexer is a heads-up, customized speech application and service that streamlines data collection and accessibility across industries.","Kansas City, Missouri, United States","Dexer is a heads-up, customized speech application and service that streamlines data collection and accessibility across industries.","58,431",,,,,$1M to $10M,2014-01-01,year,Active,,,,,For Profit,http://www.speedofyourvoice.com,https://www.linkedin.com/company/agvoice/,"Aaron Gobin, Bruce Rasa, Erick Kobres, John Swansey",4,7,1825000,USD,1825000,"Skandalaris Center for Interdisciplinary Innovation and Entrepreneurship, The Yield Lab, S2G Ventures, GGV Capital, gbeta",2,7,"AgTech, Construction, Data Collection and Labeling, Information Technology, InsurTech, Logistics, Mobile, Productivity Tools"
Rize ag,https://www.crunchbase.com/organization/rize-ag,,11-50,Pre-Seed,3000000,EUR,3153616,"Rize accelerates the transition of agriculture from a net carbon emitter to a carbon sink by leveraging tech and carbon credit mechanisms. By generating carbon credits on behalf of farmers who adopt sustainable practices, the company supports the transition toward greener agriculture and provides an additional revenue stream for regenerative farms.","Paris, Ile-de-France, France",Rize accelerates the transition of agriculture from a net carbon emitter to a carbon sink by leveraging tech and carbon credit mechanisms.,"58,484",,,,,,2020-01-01,year,Active,,,,,For Profit,https://www.rizeag.com/,https://www.linkedin.com/company/rize-ag,,,2,3000000,EUR,3153616,"Bpifrance, L'Oreal, AGORANOV, Anthemis, Mirova",4,11,"Agriculture, AgTech, Farming"
Sunlit Seedlings,https://www.crunchbase.com/organization/sunlit-seedlings,,,Seed,100000000,JPY,730056,,"Kyoto, Kyoto, Japan","Sunlit Seedlings is a consulting firm that offers services in scientific fields like mycology, integrated ecosystems, and network science.","58,507",,,,,,2020-01-15,day,Active,,,,,For Profit,https://www.sunlitseedlings.com,,,,1,100000000,JPY,730056,Kyoto University Innovation Capital,,1,"AgTech, Consulting, Environmental Consulting"
Collective Audience,https://www.crunchbase.com/organization/collective-audience,Growing,11-50,Debt Financing,,,,"Collective Audience is an audience-based performance advertising and media for brands, publishers, and marketers. The company develops its collective digital audiences, across all channels and formats to drive brand awareness, traffic, and transactions. It was founded in 2020 and is located in New York, New York.","New York, New York, United States","Collective Audience is an audience-based performance advertising and media for brands, publishers, and marketers.","58,532",,,,,,2023-01-01,year,Active,,,,,,https://collectiveaudience.co,https://www.linkedin.com/company/collective-audience,Brent Suen,1,1,,,,Homeroom Fund,1,1,"AgTech, Content Marketing, Digital Marketing, Online Portals"
Netcarbon,https://www.crunchbase.com/organization/netcarbon,,1-10,Seed,1000000,EUR,1070760,"NetCarbon offers a solution to measure, improve and value carbon sequestration for farmers, territories, and project owners to contribute toward carbon neutrality. NetCarbon technology is relying on the fusion of satellite data and algorithms.","Bordeaux, Aquitaine, France","Netcarbon offers a solution to measure, improve and value carbon sequestration for farmers, territories, and project owners.","58,535",,,,,,2022-02-03,day,Active,,,,,For Profit,https://www.netcarbon.fr/,https://www.linkedin.com/company/netcarbon/,"Adrien Mazeau, Basile Goussard",2,1,1000000,EUR,1070760,"Bpifrance, 4Elements",1,2,"Aerospace, AgTech, Smart Cities"
Jiye Technologies,https://www.crunchbase.com/organization/jiye-technologies,,101-250,Pre-Seed,2500000,USD,2500000,Jiye Technologies is a B2B Agri marketplace that connects farmers to retail markets.,"Lahore, Punjab, Pakistan",Agri Supply Chain & Agri Fintech,"58,600",,,,,,2021-09-12,day,Active,,,,,For Profit,https://www.jiyetech.co/,https://www.linkedin.com/company/jiye/about/,Ahmed Bilal Afzal,1,1,2500000,USD,2500000,"Seedstars, Jabbar Internet Group, Access Bridge Ventures, Sarmayacar, EquiTie",1,5,"Agriculture, AgTech, B2B, FinTech, Marketplace"
ForFarming,https://www.crunchbase.com/organization/forfarming,,1-10,Venture - Series Unknown,3000000,TRY,157522,"ForFarming develops smart agriculture for a healthy future. The company provides complete feed solutions for conventional and organic livestock farms. They work in the animal protein market, which is always evolving in terms of sustainability, legislation, and customer preferences.","Istanbul, Istanbul, Turkey",ForFarming develops smart agriculture for a healthy future.,"58,654",,,,,$1M to $10M,2018-02-01,month,Active,,,,,For Profit,http://www.forfarming.co/,https://www.linkedin.com/company/forfarming/,"Levent Atlas, Vehbi Yurdakurban",2,4,1029522,USD,1029522,"Keiretsu Forum, Founder One, APY Ventures, TechOne VC, Kerim Kotan",1,10,"Agriculture, AgTech, Farming, Hydroponics"
It's Fresh!,https://www.crunchbase.com/organization/it-s-fresh,,11-50,Series B,6700000,GBP,8317578,"It’s Fresh! Food Freshness Technology company, delivering freshness solutions to the fresh produce industry, based on consumer-friendly advanced materials innovations. Our discrete It's Fresh! controllers purify the air around perishable produce, inside the pack from field to fork; helping our customers deliver fruit that is fresher for longer, thereby significantly increasing sales, and slashing unnecessary waste - right into the consumer's home. www.itsfresh.com","Burntwood, Staffordshire, United Kingdom","It's New! provides freshness solutions to the fresh produce industry, extending shelf life and reducing waste.","58,694",,,,,$1M to $10M,2010-01-01,year,Active,,,,,For Profit,https://itsfresh.com/,https://www.linkedin.com/company/it's-fresh-ltd/,,,4,13317578,USD,13317578,"Business Growth Fund, Anterra Capital, Zintinus, Praesidium, Forward Food",3,5,"Agriculture, AgTech, Food and Beverage, Fruit, Sustainability"
1.8 Meters Marine Technology,https://www.crunchbase.com/organization/1-8-meters-marine-technology,,,Seed,110000000,CNY,15481510,1.8 Meters Marine Technology operates as a fishery and agriculture startup.,"Hangzhou, Zhejiang, China",1.8 Meters Marine Technology operates as a fishery and agriculture startup.,"58,779",,,,,,2023-01-01,year,Active,,,,,For Profit,,,,,1,110000000,CNY,15481510,Hangzhou Dajingtou No. 22 Arts and Culture Co,1,1,"Agriculture, AgTech, Aquaculture, Farming, Marine Technology"
DigiFarmz Smart Agriculture,https://www.crunchbase.com/organization/digifarmz,Growing,11-50,Seed,100000,USD,100000,"Growers currently lose 75% of crop yield potential due to decision errors in plant health and nutrition management. DigiFarmz uses algorithms that combine biotic (genetics, pathogen, etc.) and abiotic (climate, sowing dates, location, etc.) parameters and a big data with more than sixteen years of field and greenhouse researches, to provide real-time dynamic recommendations for the very reality of each farm and field plot, optimizing the use of agrochemicals, increasing the yield and profitability of crops.","São Paulo, Sao Paulo, Brazil",Digital platform that provides smart agronomic recommendations for higher yield and profitability with less environmental impact.,"58,813",,,,,$1M to $10M,2017-10-19,day,Active,,,,,For Profit,https://www.digifarmz.com,https://www.linkedin.com/company/digifarmz,"Alexandre Chequim, Ricardo Balardin",2,6,587786,USD,587786,"Bossanova Investimentos, gener8tor, Newchip Accelerator, SVG Ventures, ACE Ventures",3,7,"Agriculture, AgTech, Artificial Intelligence (AI), Information Technology"
AgroUrbana,https://www.crunchbase.com/organization/agrourbana,Growing,1-10,Series B,6000000,USD,6000000,Agrourbana is the Vertical Agriculture company. It produce the best vegetables by applying advanced technology and responsible processes with the environment and people.,"Santiago, Region Metropolitana, Chile",Agrourbana is the Vertical Agriculture company.,"58,974",,,,,$1M to $10M,2018-01-01,year,Active,,,,,For Profit,http://agrourbana.ag/,https://www.linkedin.com/company/agrourbana,Cristián Sjögren,1,4,11750000,USD,11750000,"Kayyak Ventures, Amarena, ChileGlobal Ventures, Fundación Chile, CLIN",3,8,"Agriculture, AgTech"
Sentinel Fertigation,https://www.crunchbase.com/organization/sentinel-fertigation,Growing,1-10,Grant,250000,USD,250000,"Sentinel Fertigation develops the fertigation management platform N-Time FMS that uses aerial imagery. The company was founded in 2022 by Jackson Stansell and is headquartered in Lincoln, Nebraska, United States.","Lincoln, Nebraska, United States",Sentinel Fertigation develops the fertigation management platform that uses aerial imagery.,"59,009",,,,,$1M to $10M,2022-01-01,year,Active,,,,,For Profit,https://www.sentinelfertigation.com/,https://www.linkedin.com/company/sentinel-fertigation/,Jackson Stansell,1,3,2950000,USD,2950000,"Invest Nebraska, Homegrown Capital, Burlington Capital, Nebraska Angel Network, Wells Fargo Innovation Incubator",4,6,"Agriculture, AgTech, Software"
Solena,https://www.crunchbase.com/organization/solena,Growing,11-50,Grant,,,,"Solena is a biotechnology company dedicated to the study of the microbiome of agricultural soils, with the aim of increasing the profitability of farmers by tailored biological inputs","León, Guanajuato, Mexico",Solena is a biotechnology company dedicated to the study of the microbiome of agricultural soils,"59,201",,,,,$1M to $10M,2015-02-27,day,Active,,,,,For Profit,http://www.solena.ag/,https://www.linkedin.com/company/grupo-solena,"Erick Soto, Guillermo Aguirre, Irving Rivera, Octavio González",4,9,300000,USD,300000,"SVG Ventures, CerraCap Ventures, The Yield Lab LATAM, Illumina Accelerator, Apple's Impact Accelerator",5,6,"AgTech, Biotechnology, Genetics"
Odd.Bot,https://www.crunchbase.com/organization/odd-bot,,11-50,Seed,,,,Odd.Bot is accelerating the transition to sustainable agriculture by offering the success of chemical- & manual weeding.,"Lelystad, Flevoland, The Netherlands",Robotics for a sustainable future,"59,228",,,,,$1M to $10M,2018-10-01,day,Active,,,,,For Profit,https://www.Odd.Bot,https://linkedin.com/company/odddotbot,Martijn Lukaart,1,5,3676393,EUR,3974781,"European Innovation Council, EIT Food, Horizon Flevoland, Anonymous Angel",3,4,"Agriculture, AgTech, Farming, Organic Food, Robotics, Software"
Yimutian,https://www.crunchbase.com/organization/yimutian,,51-100,Venture - Series Unknown,,,,"Yimutian is an agricultural B2B e-commerce platform based in Beijing, China.","Beijing, Beijing, China",Yimutian is an agricultural B2B e-commerce platform.,"59,305",,,,,,2011-01-01,year,Active,,,,,For Profit,http://www.ymt.com/,https://www.linkedin.com/company/一亩田集团,Zhijia Liu,1,3,29317284,USD,29317284,"Yiguo.com, HongShan, ZhenFund, China Growth Capital | CGC",2,4,"Agriculture, AgTech, E-Commerce, Internet"
Agragene,https://www.crunchbase.com/organization/agragene,,1-10,Venture - Series Unknown,,,,"Agragene operates as a sustainable agricultural technology company developing novel biological crop pest protection products. Agragene is advancing Precision-Guided Sterile Insect Technology (pgSIT), an eco-friendly CRISPR-based approach to engineer sterile male crop pests that mate with wild female crop pests. The company uses advanced genome engineering to create and commercialize sustainable products that are applicable to thousands of insect pests worldwide, thereby enabling farmers to enhance the quality and productivity of economically important foods and crops. Agragene was established in 2017 and is based in San Diego, CA.","San Diego, California, United States",Agragene is an agtech company that develops crop pests and eradicate mosquito-borne disease using biological insect control technology.,"59,394",,,,,$1M to $10M,2017-01-01,year,Active,,,,,For Profit,http://agragene.com/,https://www.linkedin.com/company/agragene-inc,"Ethan Bier, Omar Akbari, Valentino Gantz",3,3,5200000,USD,5200000,"Missouri Technology Corporation, Ospraie Ag Sciences",2,2,"Agriculture, AgTech, Biotechnology"
Insight Robotics,https://www.crunchbase.com/organization/insight-robotics,Growing,11-50,Venture - Series Unknown,9000000,USD,9000000,"Insight Robotics safeguards the industry’s natural resources and infrastructure with intelligent threat detection. Data collected through robots and sensors are presented as early-stage intelligence through their GIS platform so that stakeholders can intuitively assess their risk and respond based on real-time data. They're a passionate team pioneering new ways to make the world a better, safer place to live. Their specialty is helping their customers visualize data across large land areas easily and intuitively, thanks to their patented inventions like: - Their wildfire detection robots that use artificial intelligence to increase the range that thermal sensors can see - Insight Globe GIS which assists a single wildfire detection robot in finding the location of a fire without triangulation Founded in 2009 by Kevin Chan and Rex Sham, their company is made up of engineers and experts from more than a dozen nationalities. They love to innovate and challenge each other, to push the boundaries of technology, and to work closely with their customers on end-to-end solutions for their industrial challenges. They foster an environment of inspiration and positive disruption, continuously striving to make a difference by protecting the world’s resources, assets, and lives. Saving the world, bit by bit, grid by grid.","Sha Tin, New Territories, Hong Kong",Insight Robotics is to enable active risk management of the world's assets by generating and making sense of data.,"59,439",,,,,$1M to $10M,2009-06-16,day,Active,,,,,For Profit,http://www.insightrobotics.com,https://www.linkedin.com/company/insight-robotics-ltd,"Kevin Chan, Rex Sham",2,5,16000000,USD,16000000,"Fresco Capital, Radiant Venture Capital, Bright Success Capital, Beyond Ventures, Empower Investment",2,7,"Agriculture, AgTech, Artificial Intelligence (AI), Drones, Forestry, Internet of Things, Robotics, Software"
Soulfull,https://www.crunchbase.com/organization/soulfull,Growing,101-250,Series A,5357440,USD,5357440,"Soulfull manufactures and retails ready to eat cereals intended to provide a healthy breakfast. The company's food products are all natural, made with grains which consume less water to grow, gluten-free, free of preservatives and high in fiber, enabling consumers to have a delicious and nutritious breakfast.","Bengaluru, Karnataka, India",Soulfull manufactures and retails ready to eat cereals intended to provide a healthy breakfast.,"59,464",Tata Consumer Products,https://www.crunchbase.com/organization/tata-global-beverages,Acquisition,,$1M to $10M,2011-01-01,year,Active,2021-02-02,day,,,For Profit,http://www.soulfull.co.in/,https://www.linkedin.com/company/kottaram-agro-foods-pvt-ltd/,"Amith Sebastian, Narayan Kottaram, Prashant Parameswaran, Rasika Iyer, Rasika Prashant",5,1,5357440,USD,5357440,Aavishkaar Venture Capital,1,1,"Agriculture, AgTech, Food and Beverage, Health Care, Restaurants"
Gold Leaf Farming,https://www.crunchbase.com/organization/gold-leaf-farming,Growing,11-50,Venture - Series Unknown,6500799,USD,6500799,"Gold Leaf Farming operates and supplies almond, pistachio, and date farms. The company builds upon that tradition with a focus on sustainability, responsible employment, and technology.","Modesto, California, United States","Gold Leaf Farming operates and supplies almond, pistachio, and date farms.","59,643",,,,,,2017-01-01,year,Active,,,,,For Profit,https://www.goldleaf.ag/,https://www.linkedin.com/company/goldleaf/,"Brandon Rebiero, Jack McCarthy",2,1,6500799,USD,6500799,,,,"Agriculture, AgTech, Farming, Sustainability"
BetterSeeds,https://www.crunchbase.com/organization/betterseeds,Growing,11-50,Series A,11500000,USD,11500000,"Developer of EDGE - Efficient Delivery of Gene Editing cross-crops and YieldMax™ - our proprietary trait platform that will adapt crops to sustain the challenges arising from climate change. The company's technology utilizes an innovative delivery method based on CRISPR-Cas9 in order to provide enhanced seeds, enabling growers to produce better varieties, and incorporating new traits that are not today available across all crops due to the limitations of conventional breeding. The company was founded in 2017","Givat Haim, HaMerkaz, Israel",Developer of EDGE - Efficient Delivery of Gene Editing cross-crops and YieldMax™- trait platform adapting crops to climate change challenges,"59,751",,,,,$1M to $10M,2017-01-01,year,Active,,,,,For Profit,https://www.betterseeds.com,https://www.linkedin.com/company/betterseeds-ltd,"Ido Margalit, Tal Sherman",2,4,17300000,USD,17300000,"OurCrowd, Smart Agro, JITO Angel Network",2,3,"Agriculture, AgTech"
Pura Cali,https://www.crunchbase.com/organization/pura-cali,,1-10,Seed,465000,USD,465000,"Pura Cali is an integrated cannabis company that establishes the standards for artisan agriculture. The company uses a seed-to-sale model to transform its cultivated cannabis into cannabis-based products, providing organic cannabis to consumers.","Petrolia, California, United States",Pura Cali is an integrated cannabis company that establishes the standards for artisan agriculture.,"59,926",,,,,$1M to $10M,2013-01-01,year,Active,,,,,For Profit,https://www.puracali.com,https://www.linkedin.com/company/pura-industries,Jonathan Lasser,1,3,4260000,USD,4260000,,,,"Agriculture, AgTech, Cannabis"
Sufresca,https://www.crunchbase.com/organization/sufresca,,11-50,Seed,3500000,USD,3500000,Sufresca develops safe-to-consume vegetable and fruit coating intended to increase the shelf life of such products. It designs edible fruit and vegetable coating solutions to reduce food waste and curb the need for plastic packages. Start date of operation - 01-01-2020,"Kfar Vitkin, HaMerkaz, Israel","Sufresca develops bio-edible coatings for fruits and vegetables that prolong shelf life and help create a plastic free world,","59,960",,,,,$1M to $10M,2018-01-01,year,Active,,,,,For Profit,http://sufresca.com/,https://www.linkedin.com/company/sufresca/,"Amos Nussinovitch, Efrat Boker Ferri, Haim Rabinowitch",3,4,7202000,USD,7202000,"OurCrowd, ADB Ventures, Agrinnovation, Rimonim Fund",1,4,"AgTech, Biotechnology, Environmental Engineering, Food Processing, GreenTech, Sustainability"
Minnowtech,https://www.crunchbase.com/organization/minnowtech,Growing,1-10,Series A,,,,"Minnowtech is an aquaculture technology company, based in Baltimore, MD, that provides a software imaging platform to enable shrimp farmers to estimate shrimp abundance non-invasively with precision. Using Minnowtech’s data-based imaging tool, shrimp farmers optimize the health and growth of their hatcheries, enhancing the harvest of market-size shrimp while minimizing risks to juvenile shrimp.  With the continued growth of aquaculture worldwide, Minnowtech addresses head-on the industry’s most acute challenge, which is overcoming limitations in how shrimp farmers assess the abundance, growth, and optimal harvest times of their crop. Minnowtech, via its low-cost technology and expert team of marine scientists, helps improve aquaculture farmers’ livelihoods while improving global food security and sustainability of marine environments.","Baltimore, Maryland, United States",Minnowtech develops aquaculture technologies to maximize aquafarmers’ cultivation efforts using integrated sensor-based systems.,"59,994",,,,,$1M to $10M,2018-01-01,year,Active,,,,,For Profit,https://www.minnowtech.com/,https://www.linkedin.com/company/minnowtech/?viewAsMember=true,Suzan Shahrestani,1,8,2974780,USD,2974780,"National Science Foundation, TEDCO, OTAQ, Abell Foundation, University System of Maryland Momentum Fund",3,7,"AgTech, Aquaculture, Biotechnology"
Mileutis,https://www.crunchbase.com/organization/mileutis,Growing,11-50,Corporate Round,,,,"Mileutis is a clinical-stage company focused on developing and commercializing natural and novel peptides for animal and human health.Mileutis' biopharmaceutical products have major market potential for chronic and infectious diseases. Mileutis' products will significantly reduce antibiotic use in human health and animal health management. Additionally, Mileutis' products benefit veterinary dairy management by increasing productivity. ","Gan Yavne, HaMerkaz, Israel",Mileutis is a clinical-stage company focused on developing and commercializing natural and novel peptides for animal and human health.,"60,087",,,,,$1M to $10M,2004-01-01,year,Active,,,,,For Profit,http://www.mileutis.com/,https://www.linkedin.com/company/mileutis-ltd/,"David Javier Iscovich, Jose Iscovich",2,2,20000000,USD,20000000,"Yotvata Dairy, Novaquest Capital Management",2,2,"AgTech, Biotechnology, Clinical Trials"
Kisan Network,https://www.crunchbase.com/organization/kisan-network,,51-100,Seed,3000000,USD,3000000,"Kisan Network is a tech-enabled supply chain startup focused on agriculture. It is an enabled and fully integrated PAN India Agri produce supply chain connecting marginal farmers directly to businesses. The company started in 2016 and is headquartered in Gurgaon, Haryana, India.","Gurgaon, Haryana, India",Kisan Network is a tech-enabled supply chain startup focused on agriculture.,"60,267",,,,,,2016-01-01,year,Active,,,,,For Profit,https://www.kisannetwork.com,https://www.linkedin.com/company/kisan-network,"Aditya Agarwalla, Sanjay K Agarwalla",2,3,3220000,USD,3220000,"Y Combinator, FundersClub, Venture Highway, Gokul Rajaram, Lynett Capital",3,9,"Agriculture, AgTech, Mobile"
"RealmFive, Inc.",https://www.crunchbase.com/organization/intellifarm,Growing,11-50,Debt Financing,250000,USD,250000,"We help you make better decisions about your supply chain and labor with real-time data and insights using secure, reliable hardware and intuitive software","Lincoln, Nebraska, United States",Accelerating Efficient Supply Chain and Labor Solutions. #ManageYourRealm,"60,298",,,,,$1M to $10M,2012-01-01,year,Active,,,,,For Profit,https://www.realmfive.com/,https://www.linkedin.com/company/realmfive,"Brant Burkey, Steve Tippery",2,4,7520000,USD,7520000,"Invest Nebraska, NMotion",2,2,"Agriculture, AgTech, Farming, Food Processing, Livestock, Retail, Supply Chain Management"
Verdant Impact,https://www.crunchbase.com/organization/verdant-impact,Growing,11-50,Grant,1000000,INR,12016,"Verdant Impact operates as a full stack animal husbandry platform. Verdant Impact provides farmers with backward and forward linkage for purchase and sales of livestock. We are a full stack animal husbandry platform. Our work begins with providing farmers with backward and forward linkage for purchase and sales of livestock. With our state of the art product - Animal ICU, we provide digital livestock healthcare services to the farmers for the wellbeing of their animals. With our animal mark and certification, we help in unique identification of the animals using RFID and providing a certification of quality. Our RFID reader can help in precise animal identification. Our unique identification helps farmers in availing credit products for their animals. We have introduced a cattle credit card product with help of our banking partners.","Jaipur, Rajasthan, India",Verdant Impact operates as a full stack Livestock SaaS platform.,"60,365",,,,,,2020-01-21,day,Active,,,,,For Profit,https://verdantimpact.com/,https://www.linkedin.com/company/verdantimpact/,"Manish Kumar, Maya Zeph",2,3,12000000,INR,145383,"Conquest, Atal Innovation Mission",2,2,"AgTech, Farming, Internet of Things, Livestock, SaaS"
AGvisorPRO,https://www.crunchbase.com/organization/agvisorpro,Growing,11-50,Seed,1000000,USD,1000000,"AGvisorPRO is a platform that connects people to experts in agriculture to get information. They provide a range of services, both virtually and in person. Their services include the 10-step soil interpretation process, yield monitor technicians, energy and agricultural services, agricultural investigations, crop protection recommendations, and more.","Calgary, Alberta, Canada",AGvisorPRO is an app connects people with questions to experts with answers.,"60,388",,,,,$1M to $10M,2018-11-19,day,Active,,,,,For Profit,https://agvisorpro.com/,https://www.linkedin.com/company/agvisorpro/,"Patrick Walther, Robert Saik",2,6,4756318,USD,4756318,"SVG Ventures, Cultivator, PeriGrow",3,3,"Agriculture, AgTech, Consulting, Farming, Private Social Networking, Professional Services, Software"
Veles Farming,https://www.crunchbase.com/organization/veles-farming,Growing,1-10,Seed,250000,USD,250000,"Veles Farming is a vertical farming platform that produces saffron. Their platform focuses on developing templates and technology through research and crop development and grows saffron. Its products are for the food industry, cosmetics, pharmaceuticals, and textile industries.","Bratislava, Bratislava, Slovakia (Slovak Republic)",Veles Farming is a vertical farming platform for producing saffron.,"60,536",,,,,,2021-09-01,month,Active,,,,,For Profit,https://www.velesfarming.com/,https://www.linkedin.com/company/velesfarming/?viewAsMember=true,Miroslav Hroncek,1,2,808614,USD,808614,Newchip Accelerator,,1,"AgTech, Farming"
Beewise,https://www.crunchbase.com/organization/beewise-29a6,,101-250,Series C,80000000,USD,80000000,"Beewise offers robotic beehives that operate with minimal human intervention, by utilizing AI-powered precision robotics. The company's solution automates all beekeeping activities in order to increase yield, reduce colony loss, and eliminate the use of chemical pesticides. We are the first comprehensive solution that keeps bees alive, in spite of all the stressors and challenges they face, allowing them to thrive, pollinate, and produce honey.","Bet Haemek, HaZafon, Israel",Beewise offers robotic beehives that utilizes AI-powered precision robotics with minimal human intervention.,"60,854",,,,,$10M to $50M,2018-03-01,day,Active,,,,,For Profit,http://www.beewise.ag,https://www.linkedin.com/company/beewise-technologies,"Boaz Petersil, Eliyah Radzyner, Hallel Schreier, Saar Safra, Yossi Sorin",5,7,118714134,USD,118714134,"Insight Partners, MassChallenge, Fortissimo Capital, Corner Ventures, lool ventures",5,15,"Agriculture, AgTech, Animal Feed, Artificial Intelligence (AI)"
Rise-X,https://www.crunchbase.com/organization/rise-x-fb9c,,51-100,Seed,2500000,USD,2500000,"Rise-X is a deep technology SaaS company developing agile enterprise software for sustainable industry growth. Using common ledger (blockchain) technologies, the Rise-X Ecosystem Orchestration Platform (EOP) is a multi-party workflow solution that connects and automates business ecosystems. By digitizing and optimizing interactions among internal teams, suppliers, and customers, Rise-X enhances productivity and ensures end-to-end transparency. The Rise-X EOP allows businesses to quickly build and optimize workflows with no-code tools, supporting rapid digital transformation. Alongside their software, Rise-X offers consulting and support services to help clients design and implement effective ecosystem business models to achieve their operational goals.","Perth, Western Australia, Australia","SaaS, Ecosystem Orchestration, Ecosystem Development","60,927",,,,,,2017-01-01,year,Active,,,,,For Profit,https://www.rise-x.io,https://www.linkedin.com/company/rise-x,Rowan Fenn,1,1,2500000,USD,2500000,,,,"AgTech, Consulting, Enterprise Applications, Enterprise Resource Planning (ERP), Enterprise Software, Marine Technology, SaaS, Software"
Plant Factory Technologies,https://www.crunchbase.com/organization/plant-factory-technologies,Growing,1-10,Non-equity Assistance,,,,"PFT enables high-value crops grown in vertical farms to reach their maximum genetic potential in terms of yields and healthy components concentration. Among technological advances are a high-pressure aeroponics solution that saves 99% of water providing plants with a balanced amount of nutrition, adaptive controlled lighting saving electricity and giving an optimum spectrum for each plant, systems of infrastructure management (automatization) and digital control. It makes production not just high-yielding, but also environmentally friendly. In addition, production is waste-free. Our goal is to create sustainable and independent vertically integrated enterprises in different regions. From equipment, IT solutions and seeds to ready-made greens and processed products for pharma, functional food and cosmetics. PFT is interested in partnerships with manufacturers from these areas, including attraction of investment in joint production facilities and R&D centers.","Dubai, Dubai, United Arab Emirates",R&D company in AgBioTech. Construction and diverse monetization of vertical farms.,"61,525",,,,,,2020-02-05,day,Active,,,,,For Profit,https://instagram.com/plant_factory_denis/,https://www.linkedin.com/company/plant-factory-technologies,"Anton Saveliev, Denis Malyshev, Denis Usik, Roman Iakovlev",4,2,125000,USD,125000,"Rocket Seeder, Roman Iakovlev",,2,"AgTech, Farming, Food Processing, Industrial Automation"
